Place_Id,Place_Name,Description,Category,City,Price,Rating,Time_Minutes,Coordinate,Lat,Long,Img
207,Heha Sky View,"HeHa Sky View adalah salah satu tempat wisata terbaru di Yogyakarta dan paling hits saat ini. Mau foto estetik ala selebgram atau berfoto di atas rooftop berlantai kaca? Bisa! .Terletak di Yogyakarta yang romantis, Heha Sky View adalah tempat wisata yang punya tiga ciri khas. Berdasarkan akun Instagram milik mereka, tiga hal yang menjadi ciri utama Heha Sky View adalah selfie, resto, dan food stalls. Ada banyak penjual makanan kekinian berkonsep kontainer untuk kamu yang suka memanjakan lidah. Dan kalau ingin menambah stok swafoto ada banyak spot Instagrammable yang patut dicoba.",Taman Hiburan,Yogyakarta,15000,44,1200,"{'lat': -7.8496144, 'lng': 110.478324}",-78496144,110478324,https://www.datawisata.com/wp-content/uploads/2019/11/Heha-Sky-View-Gunungkidul-surga_jogja-1024x683.jpg
208,Taman Sungai Mudal,"Taman Sungai Mudal, sebuah objek wisata alam terbuka yang terletak di Kabupaten Kulon Progo, yang menawarkan pesona sebuah kolam pemandian yang bersumber dari mata air alami. Mata airnya bersumber dari sebuah goa, sehingga kehadiran Taman Sungai Mudal menjadi mengesampingkan kesan angker dari sebuah goa. Apalagi ditambah dengan dukungan fasilitas yang membuat para wisatawan merasa nyaman saat berada di sana. Taman Sungai Mudal menjadi salah-satu wisata Kulon Progo yang selalu menjadi destinasi utama saat liburan tiba. Salah-satu alasan utamanya dikarenakan Taman Sungai Mudal mampu menjadi destinasi wisata keluarga yang menyenangkan.",Cagar Alam,Yogyakarta,10000,46,1500,"{'lat': -7.762813599999998, 'lng': 110.1161626}",-7.76E+15,1101161626,https://cdn.idntimes.com/content-images/community/2020/09/taman-sungai-mudal-fd1eaa5e515f76738b48741c7fd9cefd_600x400.jpg
209,Pantai Sanglen,"Pantai Sanglen. Lokasinya berada di Desa Kemadang, Gunung Kidul. Pantai indah yang satu ini memang terdengar asing di telinga, namun ternyata pantai ini menyimpan keindahan yang sangat menenangkan. Keadaan ombaknya diam-diam menghanyutkan membuat kita harus berhati-hati jika ingin bermain air ketika sedang pasang, namun ketika surut kamu dapat bemain ombak di sekitar pantainya. Tak jauh dari area pantai terdapat sebuah bukit dengan hiasan pepohonan yang masih rindang serta berwarna hijau alam, kamu dapat naik ke atas bukit melalui tangga yang sudah disediakan.",Bahari,Yogyakarta,10000,45,0,"{'lat': -8.1367456, 'lng': 110.5716362}",-81367456,1105716362,https://travelspromo.com/wp-content/uploads/2020/04/12-Pantai-Sanglen-Dimas-Priyantono-1024x722.jpg
210,Pantai Congot,"Selain Pantai Glagah dan Pantai Trisik, ternyata masih ada satu lagi pantai yang berada di Kulon Progo. Yakni Pantai Congot, pantai yang satu ini terkenal sebagai surganya memancing ikan. Maka tak heran jika Pantai Congot banyak dikunjungi oleh mereka para mancing mania, selain itu masyarakat sekitar Pantai Congot menggantungkan hidupnya sebagai nelayan. Pantai Congot memang tak sepopuler pantai lain yang ada di Kulon Progo, mulai banyak dikunjungi wisatawan ketika dibukanya Hutan Mangrove Pasir Mendit. Karena memang lokasinya yang tak terlalu jauh dari Pantai Congot, yakni berada di sebelah barat pantai. Pantai Congot merupakan muara dari Sungai Bogowonto. Ini pulalah yang menyebabkan Pantai Congot menjadi spot favorite para pemancing, karena terdapat banyak jenis ikan yang ada mulai dari ikan air tawar, ikan air payau hingga ikan air asin.",Bahari,Yogyakarta,3000,43,0,"{'lat': -7.907542500000001, 'lng': 110.0535658}",-79075425,1100535658,https://antarejatour.com/wp-content/uploads/2019/04/Hutan-Mangrove-di-Sekitar-Pantai-Congot-sumber-ig-ahmadlunadri.jpg
211,GunungTangkuban perahu,"Gunung Tangkuban Parahu adalah salah satu gunung yang terletak di Provinsi Jawa Barat, Indonesia. Sekitar 20 km ke arah utara Kota Bandung, dengan rimbun pohon pinus dan hamparan kebun teh di sekitarnya, Gunung Tangkuban Parahu mempunyai ketinggian setinggi 2.084 meter. Bentuk gunung ini adalah Stratovulcano dengan pusat erupsi yang berpindah dari timur ke barat. Jenis batuan yang dikeluarkan melalui letusan kebanyakan adalah lava dan sulfur, mineral yang dikeluarkan adalah sulfur belerang, mineral yang dikeluarkan saat gunung tidak aktif adalah uap belerang. Daerah Gunung Tangkuban Parahu dikelola oleh Perum Perhutanan. Suhu rata-rata hariannya adalah 17oC pada siang hari dan 2 Â°C pada malam hari.",Cagar Alam,Bandung,30000,45,0,"{'lat': -6.759637700000001, 'lng': 107.6097807}",-6.76E+15,1076097807,https://img.inews.co.id/media/822/files/inews_new/2020/03/12/IMG_12032020_142215__822_x_430_piksel_.jpg
212,Jalan Braga,"Jalan Braga adalah nama sebuah jalan utama di kota Bandung, Indonesia. Nama jalan ini cukup dikenal sejak masa pemerintahan Hindia Belanda. Sampai saat ini nama jalan tersebut tetap dipertahankan sebagai salah satu maskot dan objek wisata kota Bandung yang dahulu dikenal sebagai Parijs van Java.",Budaya,Bandung,0,47,0,"{'lat': -6.9150534, 'lng': 107.6089842}",-69150534,1076089842,http://inibaru.id/media/9753/large/normal/ba6b2fec-6f6d-421d-81be-b964741e0540__large.jpg
213,Gedung Sate,"Gedung Sate, dengan ciri khasnya berupa ornamen tusuk sate pada menara sentralnya, telah lama menjadi penanda atau markah tanah Kota Bandung yang tidak saja dikenal masyarakat di Jawa Barat, tetapi juga seluruh Indonesia bahkan model bangunan itu dijadikan pertanda bagi beberapa bangunan dan tanda-tanda kota di Jawa Barat. Misalnya bentuk gedung bagian depan Stasiun Kereta Api Tasikmalaya. Mulai dibangun tahun 1920, gedung berwarna putih ini masih berdiri kokoh namun anggun dan kini berfungsi sebagai gedung pusat pemerintahan Jawa Barat.\nGedung Sate yang pada masa Hindia Belanda itu disebut Gouvernements Bedrijven (GB), peletakan batu pertama dilakukan oleh Johanna Catherina Coops, puteri sulung Wali Kota Bandung, Bertus Coops dan Petronella Roelofsen, mewakili Gubernur Jenderal di Batavia, J.P. Graaf van Limburg Stirum pada tanggal 27 Juli 1920, merupakan hasil perencanaan sebuah tim yang terdiri dari Ir.J.Gerber, arsitek muda kenamaan lulusan Fakultas Teknik Delft Nederland, Ir. Eh. De Roo dan Ir. G. Hendriks serta pihak Gemeente van Bandoeng, diketuai Kol. Pur. VL. Slors dengan melibatkan 2000 pekerja, 150 orang di antaranya pemahat, atau ahli bongpay pengukir batu nisan dan pengukir kayu berkebangsaan Cina yang berasal dari Konghu atau Kanton, dibantu tukang batu, kuli aduk dan peladen yang berasal dari penduduk Kampung Sekeloa, Kampung Coblong Dago, Kampung Gandok dan Kampung Cibarengkok, yang sebelumnya mereka menggarap Gedong Sirap (Kampus ITB) dan Gedong Papak (Balai Kota Bandung).\n\nSelama kurun waktu 4 tahun pada bulan September 1924 berhasil diselesaikan pembangunan induk bangunan utama Gouverments Bedrijven, termasuk kantor pusat PTT (Pos, Telepon dan Telegraf) dan Perpustakaan.\nArsitektur Gedung Sate merupakan hasil karya arsitek Ir. J.Gerber dan kelompoknya yang tidak terlepas dari masukan maestro arsitek Belanda Dr.Hendrik Petrus Berlage, yang bernuansakan wajah arsitektur tradisional Nusantara.\nBanyak kalangan arsitek dan ahli bangunan menyatakan Gedung Sate adalah bangunan monumental yang anggun mempesona dengan gaya arsitektur unik mengarah kepada bentuk gaya arsitektur Indo-Eropa, (Indo Europeeschen architectuur stijl), sehingga tidak mustahil bila keanggunan Candi Borobudur ikut mewarnai Gedung Sate.\nBeberapa pendapat tentang megahnya Gedung Sate di antaranya Cor Pashier dan Jan Wittenberg dua arsitek Belanda, yang mengatakan ""langgam arsitektur Gedung Sate adalah gaya hasil eksperimen sang arsitek yang mengarah pada bentuk gaya arsitektur Indo-Eropa"".\nD. Ruhl dalam bukunya Bandoeng en haar Hoogvlakte 1952, ""Gedung Sate adalah bangunan terindah di Indonesia"".\nIr. H.P.Berlage, sewaktu kunjungan ke Gedung Sate April 1923, menyatakan, ""Gedung Sate adalah suatu karya arsitektur besar, yang berhasil memadukan langgam timur dan barat secara harmonis"". Seperti halnya gaya arsitektur Italia pada masa renaiscance terutama pada bangunan sayap barat. Sedangkan menara bertingkat di tengah bangunan mirip atap meru atau pagoda. Masih banyak lagi pendapat arsitek Indonesia yang menyatakan kemegahan Gedung Sate misalnya Slamet Wirasonjaya, dan Ir. Harnyoto Kunto.\nKuat dan utuhnya Gedung Sate hingga kini, tidak terlepas dari bahan dan teknis konstruksi yang dipakai. Dinding Gedung Sate terbuat dari kepingan batu ukuran besar (1 Ã— 1 Ã— 2 m) yang diambil dari kawasan perbukitan batu di Bandung timur sekitar Arcamanik dan Gunung Manglayang. Konstruksi bangunan Gedung Sate menggunakan cara konvensional yang profesional dengan memperhatikan standar teknik.\nGedung Sate berdiri di atas lahan seluas 27.990,859 mÂ², luas bangunan 10.877,734 mÂ² terdiri dari Basement 3.039,264 mÂ², Lantai I 4.062,553 mÂ², teras lantai I 212,976 mÂ², Lantai II 3.023,796 mÂ², teras lantai II 212.976 mÂ², menara 121 mÂ² dan teras menara 205,169 mÂ².\nGerber sendiri memadukan beberapa aliran arsitektur ke dalam rancangannya. Untuk jendela, Gerber mengambil tema Moor Spanyol, sedangkan untuk bangunannya dalah Rennaisance Italia. Khusus untuk menara, Gerber memasukkan aliran Asia, yaitu gaya atap pura Bali atau pagoda di Thailand. Di puncaknya terdapat ""tusuk sate"" dengan 6 buah ornamen sate (versi lain menyebutkan jambu air atau melati), yang melambangkan 6 juta gulden - jumlah biaya yang digunakan untuk membangun Gedung Sate. Ornamen yang terbuat dari batu, terletak di atas pintu utama Gedung Sate, sering dikaitkan dengan candi Borobudur karena bentuknya yang serupa.\nFasade (tampak depan) Gedung Sate ternyata sangat diperhitungkan. Dengan mengikuti sumbu poros utara-selatan (yang juga diterapkan di Gedung Pakuan, yang menghadap Gunung Malabar di selatan), Gedung Sate justru sengaja dibangun menghadap Gunung Tangkuban Perahu di sebelah utara.\nDalam perjalanannya semula diperuntukkan bagi Departemen Lalulintas dan Pekerjaan Umum, bahkan menjadi pusat pemerintahan Hindia Belanda setelah Batavia dianggap sudah tidak memenuhi syarat sebagai pusat pemerintahan karena perkembangannya, sehingga digunakan oleh Jawatan Pekerjaan Umum. Tanggal 3 Desember 1945 terjadi peristiwa yang memakan korban tujuh orang pemuda yang mempertahankan Gedung Sate dari serangan pasukan Gurkha. Untuk mengenang ke tujuh pemuda itu, dibuatkan tugu dari batu yang diletakkan di belakang halaman Gedung Sate. Atas perintah Menteri Pekerjaan Umum pada tanggal 3 Desember 1970 Tugu tersebut dipindahkan ke halaman depan Gedung Sate.\nGedung Sate sejak tahun 1980 dikenal dengan sebutan Kantor Gubernur karena sebagai pusat kegiatan Pemerintah Provinsi Jawa Barat, yang sebelumnya Pemerintahaan Provinsi Jawa Barat menempati Gedung Kerta Mukti di Jalan Braga Bandung.\nRuang kerja Gubernur terdapat di lantai II bersama dengan ruang kerja Wakil Gubernur, Sekretaris Daerah, Para Assisten dan Biro. Saat ini Gubernur di bantu oleh tiga Wakil Gubernur yang menangani Bidang Pemerintahan, Bidang Ekonomi dan Pembangunan, serta Bidang Kesejahteraan Rakyat, seorang Sekretaris Daerah dan Empat Asisten yaitu Asisten Ketataprajaan, Asisten Administrasi Pembangunan, Asisten Kesejahteraan Sosial dan Asisten Administrasi.\nNamun tidak seluruh Asisten menempati Gedung Sate. Asisten Kesejahteraan Sosial dan Asisten Administrasi bersama staf menempati Gedung Baru.\nDi bagian timur dan barat terdapat dua ruang besar yang akan mengingatkan pada ruang dansa (ball room) yang sering terdapat pada bangunan masyarakat Eropa. Ruangan ini lebih sering dikenal dengan sebutan aula barat dan aula timur, sering digunakan kegiatan resmi. Di sekeliling kedua aula ini terdapat ruangan-ruangan yang di tempati beberapa Biro dengan Stafnya.\nPaling atas terdapat lantai yang disebut Menara Gedung Sate, lantai ini tidak dapat dilihat dari bawah, untuk menuju ke lantai teratas menggunakan Lift atau dengan menaiki tangga kayu.\nKesempurnaan megahnya Gedung Sate dilengkapi dengan Gedung Baru yang mengambil sedikit gaya arsitektur Gedung Sate namun dengan gaya konstektual hasil karya arsitek Ir.Sudibyo yang dibangun tahun 1977 diperuntukkan bagi para Pimpinan dan Anggota Dewan Perwakilan Rakyat Daerah Provinsi Jawa Barat dalam melaksanakan tugas dan fungsinya sebagai Lembaga Legislatif Daerah.\nGedung Sate telah menjadi salah satu tujuan objek wisata di kota Bandung. Khusus wisatawan manca negara banyak dari mereka yang sengaja berkunjung karena memiliki keterkaitan emosi maupun history pada Gedung ini. Keterkaitan emosi dan history ini mungkin akan terasa lebih lengkap bila menaiki anak tangga satu per satu yang tersedia menuju menara Gedung Sate. Ada 6 tangga yang harus dilalui dengan masing-masing 10 anak tangga yang harus dinaiki.\nKeindahan Gedung Sate dilengkapi dengan taman disekelilingnya yang terpelihara dengan baik, tidak heran bila taman ini diminati oleh masyarakat kota Bandung dan para wisatawan baik domestik maupun manca negara. Keindahan taman ini sering dijadikan lokasi kegiatan yang bernuansakan kekeluargaan, lokasi shooting video klip musik baik artis lokal maupun artis nasional, lokasi foto keluarga atau foto diri bahkan foto pasangan pengantin.\nKhusus pada hari minggu lingkungan halaman Gedung Sate dijadikan pilihan tempat sebagian besar masyarakat untuk bersantai, sekadar duduk-duduk menikmati udara segar kota Bandung atau berolahraga ringan.\nMembandingkan Gedung Sate dengan bangunan-bangunan pusat pemerintahan (capitol building) di banyak ibu kota negara sepertinya tidak berlebihan. Persamaannya semua dibangun di tengah kompleks hijau dengan menara sentral yang megah. Terlebih dari segi letak gedung sate serta lanskapnya yang relatif mirip dengan Gedung Putih di Washington, DC, Amerika Serikat. Dapat dikatakan Gedung Sate adalah ""Gedung Putih""nya kota Bandung.",Budaya,Bandung,5000,46,0,"{'lat': -6.9024812, 'lng': 107.61881}",-69024812,1.08E+16,https://awsimages.detik.net.id/community/media/visual/2020/01/12/bd8602df-537b-46ff-8e3a-4f42be68d62d_169.jpeg?w=700&q=90
214,Trans Studio Bandung,"Trans Studio Bandung adalah kawasan wisata terpadu di Kota Bandung, Indonesia. Trans Studio dibangun pada areal seluas 4,2 hektare dengan investasi mencapai Rp 2 triliun sehingga menjadikan sebagai kawasan hiburan terluas dan terlengkap di Bandung. Wahana yang terdapat menawarkan petualangan dan sensasi baru yang tidak kalah menantang seperti pendahulunya yaitu Trans Studio Resort Makassar yang dibuka pada tahun 2009. Trans Studio Bandung dibuka untuk umum pada tanggal 18 Juni 2011. Trans Studio Bandung adalah taman bermain yang paling komplet di kota Bandung",Taman Hiburan,Bandung,280000,45,2400,"{'lat': -6.9250943, 'lng': 107.6364944}",-69250943,1.08E+16,https://cdn-2.tstatic.net/travel/foto/bank/images/trans-studio-bandung-untuk-liburan-akhir-pekan-seru.jpg
215,Taman Hutan Raya Ir. H. Djuanda,"Taman Hutan Raya Ir. H. Djuanda (Tahura Djuanda) merupakan kawasan konservasi yang terpadu antara alam sekunder dengan hutan tanaman dengan jenis Pinus (Pinus merkusil) yang terletak di Sub-Daerah Aliran Sungai Cikapundung dan DAS Citarum yang membentang mulai dari Curug Dago, Dago Pakar sampai Curug Maribaya yang merupakan bagian dari kelompok hutan Gunung Pulosari.\nTahura Djuanda terletak di sebelah utara Kota Bandung berjarak kurang lebih 7 km dari pusat kota, secara geografis berada pada 1070 30â€™ BT dan 60 52â€™ LS, secara administrasi berada di wilayah Desa Ciburial, Kecamatan Cimenyan, Kabupaten Bandung dan sebagian masuk Desa Mekarwangi, Desa Cibodas, Desa Langensari, dan Desa Wangunharja, Kecamatan Lembang, Kabupaten Bandung Barat serta Kelurahan Dago, Kecamatan Coblong, Kota Bandung.\nBerdasarkan hasil rekonstruksi tata batas Tahura Djuanda tahun 2003, luasnya adalah 526,98 ha.",Cagar Alam,Bandung,15000,45,900,"{'lat': -6.8565791, 'lng': 107.6323734}",-6.86E+15,1.08E+16,https://modernsocialmagazine.com/wp-content/uploads/2019/08/Indahnya-Taman-Hutan-Raya-Juanda.jpg
216,Farm House Susu Lembang,"Sebagai salah satu tempat wisata lembang baru, Farm house Lembang mulai beroperasi sekitar tahun 2015. Tempat wisata di Bandung biasanya terbantu naik oleh medsos, terutama facebook dan instagram. Tampaknya tempat ini memaksimalkan banget hal ini. Dengan desain atmosfer eropa, banyak spot unik yang pastinya bakal menarik untuk swafoto/selfie, dan di posting di media sosial. memang, Farmhouse Lembang sejauh ini menawarkan â€˜wisata fotoâ€™ sebagai daya tarik utamanya. Mirip-mirip dengan Dago Dream Park, hanya berbeda konsep tempatnya saja.",Taman Hiburan,Bandung,30000,44,0,"{'lat': -6.832968999999999, 'lng': 107.6056183}",-6832969,1.08E+16,https://thumb.viva.co.id/media/frontend/thumbs3/2019/02/13/5c63e8638e381-berwisata-sekaligus-belajar-di-farm-house-susu-lembang_665_374.jpg
217,Kebun Binatang Bandung,"Kebun Binatang Bandung merupakan salah satu objek wisata alam flora dan fauna di Kota Bandung, Jawa Barat, Indonesia. Kebun Binatang Bandung terletak berdampingan dengan kampus Institut Teknologi Bandung dan Sungai Cikapundung.",Cagar Alam,Bandung,20000,40,1800,"{'lat': -6.8897177, 'lng': 107.6077282}",-6.89E+15,1.08E+16,https://akcdn.detik.net.id/visual/2021/07/02/kebun-binatang-bandung_169.jpeg?w=650
218,Kawah Putih,"Kawah Putih adalah sebuah tempat wisata di Jawa Barat yang terletak di Desa Alam Endah, Kecamatan Rancabali, Kabupaten Bandung Jawa Barat yang terletak di kaki Gunung Patuha. Kawah putih merupakan sebuah danau yang terbentuk dari letusan Gunung Patuha. Tanah yang bercampur belerang di sekitar kawah ini berwarna putih, lalu warna air yang berada di kawah ini berwarna putih kehijauan, yang unik dari kawah ini adalah airnya kadang berubah warna. Danau Kawah Putih sendiri berada pada ketinggian 2194 m tapi luas total Danau Kawah Putih 25 ha yang dipakai wisata 5 ha dan lokasi kawah sendiri 3 ha.",Cagar Alam,Bandung,81000,45,0,"{'lat': -7.166203899999999, 'lng': 107.4021256}",-71662039,1074021256,https://cdn-2.tstatic.net/travel/foto/bank/images/kawah-putih11.jpg
